Heart_Rate_(bpm),Skin_Conductance,Emotion,Emotion_Mapped
88.42283404803524,1.1827425178836104,angry,2
60.385913431208266,0.12387560406009879,sad,1
82.96114682017696,0.7183959901968165,happy,0
119.21320541288573,1.1874024931917733,angry,2
65.32727263234963,0.3676065937672427,sad,1
108.61672278042387,0.6736161981067387,happy,0
120.62452782801931,1.163476163107312,surprise,4
102.85715970742461,0.7092095712592613,happy,0
125.97988502783198,1.1370610968526824,angry,2
107.11083046173297,1.1895187908514704,angry,2
136.78433256829283,1.1121841476383718,angry,2
115.25318370213004,0.8171622224174142,surprise,4
60.31124715255074,0.336401530619949,sad,1
116.38388827288206,0.5238512997612861,happy,0
88.27602314567437,0.45087339953719374,disgust,5
50.0,0.21866171646300303,sad,1
85.11078570329751,0.6036855431750533,happy,0
105.97875951047442,0.6430648475738658,happy,0
57.608691760693105,0.20188358850817342,sad,1
53.31632006367663,0.19701113453786395,sad,1
104.33920990185834,1.244291458938244,fear,3
66.72389147676137,0.1,sad,1
79.67311936084,0.7840676429657848,happy,0
57.98688995919249,0.15384094853548946,sad,1
141.87922850473078,1.0733928334855265,angry,2
65.99770701321032,0.14886779135995631,sad,1
119.6586602311275,1.1533134463482901,angry,2
97.11865663680977,0.7615024176808101,happy,0
74.70399423041692,0.2752095268850649,sad,1
109.331298471874,0.9091689628131856,surprise,4
72.91766261016872,0.26032315807001494,sad,1
113.85503428847521,1.097467145224377,angry,2
83.28019406109921,0.9014592606932486,angry,2
81.91831357176818,0.8225744714752352,happy,0
55.721993332633694,0.2131972617596603,sad,1
130.12298111594473,1.0936406536377423,angry,2
110.69140617590585,0.5757606725202628,happy,0
109.82356908902254,0.6407264447374525,happy,0
150.0,1.2363988686072598,angry,2
86.25325801946062,0.7723342213476396,happy,0
81.49103506399379,0.7235902619675293,happy,0
107.27111542793806,0.6801796928878969,happy,0
99.13076416377233,0.7831136454860896,happy,0
124.55988141082656,1.1743509688987936,angry,2
98.27171926819477,0.5761481156226635,happy,0
53.90754702288807,0.16856033834623635,sad,1
96.90104662882314,0.4635705366766216,happy,0
85.29509558628779,0.24304194616928299,sad,1
106.99041085738175,0.7067227765663943,happy,0
120.44764266608811,1.2116822323776302,angry,2
100.38458762191355,1.2250044178173225,angry,2
109.41001207666909,1.3386215455101342,angry,2
132.8329233371563,1.1720340445014392,angry,2
55.821042312354614,0.1805344104665399,sad,1
142.2827006815153,1.481899567897563,angry,2
122.12673009419402,1.479350165247392,fear,3
55.01530768702994,0.2760816315121221,sad,1
96.33592157648499,1.110381511179017,angry,2
150.0,1.7473583989281127,fear,3
113.89436816181208,0.5955517015550822,surprise,4
138.0772058735192,1.4759830490401322,fear,3
108.0580226887946,1.2031886750369747,angry,2
58.193400229343865,0.3393750740320603,sad,1
145.60438888039317,1.1887947206487168,fear,3
50.0,0.25496722885881834,sad,1
118.46018129888432,1.2213266006822248,angry,2
111.34826859116143,1.2649503450456323,angry,2
90.01866748357945,0.7125904554805884,happy,0
52.01831370575212,0.16724038302474864,sad,1
90.5730598659201,0.8186459835085882,happy,0
82.6629721142338,0.6073305965496387,happy,0
86.1812609110868,0.3685425330655635,disgust,5
112.88031761412715,1.148369650498989,angry,2
113.00944073107365,1.5379969138173575,angry,2
118.79746167369383,1.0156069163896393,angry,2
139.61374939765824,1.3755519111469547,fear,3
84.55838088688934,0.774764471301892,happy,0
91.53835384694104,0.7349241973164012,happy,0
125.33291722757784,1.3025458253136986,fear,3
117.95438365474303,0.9053598646371409,angry,2
57.45197296482047,0.37630443650917306,sad,1
66.16374722338108,0.15960129715779592,sad,1
61.50558357196863,0.33387770938323935,sad,1
65.49357808556672,0.15197326489536606,sad,1
67.96548019823446,0.16276698134424092,sad,1
88.01805635858031,0.6303717430402409,happy,0
71.53418112085348,0.7771928242664765,happy,0
68.51861101668715,0.5024271470315931,disgust,5
111.15458668458136,1.0717391377352161,angry,2
60.3051215457076,0.16418999703046752,sad,1
106.91912924537576,1.3507056816058012,angry,2
67.65975858361526,0.1563179544265032,sad,1
68.55686466511604,0.25933826732990284,sad,1
128.48264629708785,1.0892154910268028,angry,2
63.626203301877815,0.19980004492454867,sad,1
56.25826678547986,0.25720455402542725,sad,1
94.4600105495309,0.7331707222766375,happy,0
118.58416193301211,1.008183043871927,angry,2
59.56707598020719,0.10591514422802778,sad,1
53.93527129934702,0.23034468378302603,sad,1
111.64750755264504,0.9886469215558888,angry,2
128.53729585709314,0.8818960796218048,surprise,4
114.1332180907487,0.7193186285208806,happy,0
96.2104715505205,0.6093290775823623,happy,0
93.35108940986603,0.861418130986367,surprise,4
111.909919571985,1.198202489935832,angry,2
71.95136802019577,0.29896148944707135,sad,1
92.65082254539446,1.1870840179081266,angry,2
104.9064583667961,0.7429756327365679,happy,0
115.56512286519286,1.3044877945911393,angry,2
108.2885558551952,0.6902859458837889,happy,0
97.47375226286633,0.9172659476971643,happy,0
56.89531324054841,0.23087966567359555,sad,1
150.0,1.4666451351116647,fear,3
68.08667576033892,0.1,sad,1
150.0,1.2821292692901176,fear,3
112.67464890591776,0.7097794359177092,angry,2
67.58125505895839,0.166355893559721,sad,1
81.81589732067133,0.5573987720480563,happy,0
105.32648898697846,0.7385379008027096,happy,0
84.66006456868033,0.7237227510626937,happy,0
99.63991639589854,0.8785653790540098,happy,0
70.35746835907833,0.21999264265277238,sad,1
142.60842763055575,1.153803144802809,angry,2
98.44191178640759,0.8416073870331805,happy,0
78.90478376139251,0.7762582480512759,surprise,4
73.64409791673936,0.18357635980752468,sad,1
96.58846747822994,1.1971507476901633,angry,2
81.74492501591486,0.6855542968274967,happy,0
95.06150784931701,1.2581236734318686,angry,2
50.0,0.18446341942289907,sad,1
81.52908522499567,0.669553434421712,happy,0
100.11062920741084,1.1082242131524798,angry,2
94.5080742034859,1.1813850336883633,angry,2
61.96145681614516,0.10105093883462282,sad,1
69.39380453402609,0.1017827369877437,sad,1
87.7718715054256,0.7992920555067078,happy,0
127.82002773366754,1.2513994663431627,angry,2
51.86832981385544,0.2240078411337519,sad,1
150.0,1.211582172226123,angry,2
85.08108222313548,0.9802498597205795,surprise,4
82.39312354951595,0.47600103985300446,disgust,5
114.05734858664415,1.2859743556018368,angry,2
